Datas,Contratos,Spot
14/05/2018,35.3,33.58
15/05/2018,36.6,36.41
16/05/2018,36.7,36.62
18/05/2018,36.6,34.57
22/05/2018,39.25,39.19
23/05/2018,40.25,40.27
24/05/2018,39.85,40.33
25/05/2018,39.9,40.26
28/05/2018,40.45,41.24
29/05/2018,40.8,41.55
30/05/2018,41.4,42.3
31/05/2018,42.25,42.98
01/06/2018,41.48,44.16
04/06/2018,43.6,42.71
05/06/2018,42.5,45.38
06/06/2018,41.5,46.97
07/06/2018,41.55,47.72
08/06/2018,41.7,48.74
11/06/2018,40,46.58
12/06/2018,41.65,46.8
13/06/2018,41.75,48.15
14/06/2018,40.25,46.5
15/06/2018,39.5,44.75
18/06/2018,41.3,44.05
19/06/2018,42.6,42.39
20/06/2018,42.4,42.94
21/06/2018,42.6,42.6
22/06/2018,43.75,40.41
25/06/2018,44.3,45.35
26/06/2018,43.95,46.47
27/06/2018,45.1,46.92
28/06/2018,47.15,46.5
29/06/2018,47.25,45.64
02/07/2018,48.75,49.54
03/07/2018,48.75,50.53
04/07/2018,49.63,50.98
05/07/2018,49.63,51.62
06/07/2018,48.95,49.52
09/07/2018,49.4,50.47
10/07/2018,50.28,51.51
11/07/2018,52.7,51.96
12/07/2018,53,52.49
13/07/2018,53,52.99
16/07/2018,100.95,150.19
17/07/2018,90.98,162.51
18/07/2018,120.25,180.82
19/07/2018,100.5,175.4
20/07/2018,80.35,150.48
23/07/2018,54.33,54.45
24/07/2018,54.55,54.51
25/07/2018,54.6,54.52
26/07/2018,52.75,53.7
27/07/2018,51,53.24
30/07/2018,51.95,53.03
31/07/2018,52.55,53.32
01/08/2018,51.25,53.88
02/08/2018,51.15,53.29
03/08/2018,52.25,53.52
06/08/2018,51.6,52.25
07/08/2018,49.9,53.52
08/08/2018,47,51.14
09/08/2018,47.7,50.53
10/08/2018,47.68,48.22
13/08/2018,49.1,50.81
14/08/2018,49.1,52.11
15/08/2018,49.65,51.13
16/08/2018,49.4,50.61
17/08/2018,49.8,49.84
20/08/2018,50.85,49.79
21/08/2018,52.4,51.9
22/08/2018,53.05,51.08
23/08/2018,52.5,52.59
24/08/2018,53,50.99
27/08/2018,56,51.65
28/08/2018,57.05,59.54
29/08/2018,58,59.25
30/08/2018,59.4,57.42
31/08/2018,58.65,59.72
03/09/2018,54.61,59.28
04/09/2018,54.6,60.86
05/09/2018,53.7,61.34
06/09/2018,54.65,60.79
07/09/2018,55.1,58.24
10/09/2018,50.4,55.7
11/09/2018,50.88,54
12/09/2018,52,53.07
13/09/2018,52,55.23
14/09/2018,49.25,54.8
17/09/2018,47,52.19
18/09/2018,45,49.97
19/09/2018,45.25,47.37
20/09/2018,42.3,43.86
21/09/2018,41.4,36.94
24/09/2018,41.6,37.19
25/09/2018,44.6,43.6
26/09/2018,43.95,29.7
27/09/2018,43,35.21
28/09/2018,42.95,40.86
01/10/2018,50,47.16
02/10/2018,51,46.92
03/10/2018,49.15,45.59
04/10/2018,49.5,49.34
05/10/2018,49.8,47.25
08/10/2018,47.75,46.65
09/10/2018,46.2,44.79
10/10/2018,45.3,46.76
11/10/2018,44.73,43.69
12/10/2018,45.55,44.35
15/10/2018,45.1,37.27
16/10/2018,45.3,44.26
17/10/2018,47.4,43.52
18/10/2018,47.9,43.25
19/10/2018,48.8,43.33
22/10/2018,47.5,38.05
23/10/2018,48.5,36.04
24/10/2018,48.28,41.65
25/10/2018,46.95,44.46
26/10/2018,46.8,49.04
29/10/2018,45.25,44.93
30/10/2018,46.18,42.78
31/10/2018,46.65,43.16
01/11/2018,46.5,44.67
02/11/2018,47.3,44.5
05/11/2018,46.35,45.83
06/11/2018,45.85,48.19
07/11/2018,47.15,48.07
08/11/2018,47.95,48.68
09/11/2018,48.05,47.92
12/11/2018,51.6,45.38
13/11/2018,53.8,47.85
14/11/2018,54,50.39
15/11/2018,54.7,47.76
16/11/2018,54.4,47.18
19/11/2018,50.65,48.52
20/11/2018,50.65,47.72
21/11/2018,50,50.19
22/11/2018,49.6,59.36
23/11/2018,49.9,52.63
26/11/2018,49.25,57.17
27/11/2018,50,64.29
28/11/2018,49.45,50.47
29/11/2018,50,46.48
30/11/2018,49.15,45.99
03/12/2018,53.51,47.48
04/12/2018,53,46.41
05/12/2018,52.2,51.38
06/12/2018,52.05,52.56
07/12/2018,51.83,48.65
10/12/2018,52.25,47.62
11/12/2018,52.25,51.74
12/12/2018,52.4,61.59
13/12/2018,54.85,57.89
14/12/2018,55.45,59.29
17/12/2018,59.3,65.15
18/12/2018,57.75,60
19/12/2018,58.25,53.31
20/12/2018,58.06,53.69
21/12/2018,58.95,52.37
27/12/2018,56.9,51.64
28/12/2018,56.8,53
